Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
S*Mobarakeh.Steel,9/23/2020,19980,20080,19160,19880,5.09E+12,255917094,61805,D,19130,20070
S*Mobarakeh.Steel,9/22/2020,19500,20270,18560,19130,8.55E+12,446998696,81239,D,19530,19900
S*Mobarakeh.Steel,9/21/2020,19530,19530,19530,19530,1.00E+12,51438183,7069,D,20550,19530
S*Mobarakeh.Steel,9/20/2020,20990,21300,20270,20550,2.86E+12,139013548,34946,D,21330,20270
S*Mobarakeh.Steel,9/19/2020,21380,21570,20500,21330,9.42E+12,441572984,78858,D,20550,21160
S*Mobarakeh.Steel,9/16/2020,20580,20580,20100,20550,1.03E+13,500745007,77447,D,19600,20580
S*Mobarakeh.Steel,9/15/2020,19600,19600,19600,19600,1.89E+12,96504033,13528,D,18670,19600
S*Mobarakeh.Steel,9/14/2020,18500,18750,18010,18670,4.07E+12,218019660,31669,D,17860,18750
S*Mobarakeh.Steel,9/13/2020,17590,18430,16690,17860,1.09E+13,609948922,89659,D,17560,18430
S*Mobarakeh.Steel,9/12/2020,17570,17570,17110,17560,5.00E+12,284629059,48362,D,16740,17570
S*Mobarakeh.Steel,9/8/2020,17130,17130,17130,17130,2.61E+11,15209824,3630,D,18030,17130
S*Mobarakeh.Steel,9/7/2020,18120,18400,17990,18030,1.17E+12,64652211,12780,D,18930,17990
S*Mobarakeh.Steel,9/6/2020,19290,19290,18000,18930,8.47E+12,447589909,89314,D,18380,18410
S*Mobarakeh.Steel,9/5/2020,18150,18490,18000,18380,6.32E+12,343688943,66449,D,17610,18490
S*Mobarakeh.Steel,9/2/2020,17950,18100,17580,17610,5.65E+12,320807603,47981,D,18500,17580
S*Mobarakeh.Steel,9/1/2020,18690,19450,17790,18500,7.55E+12,408200456,84980,D,18720,18000
S*Mobarakeh.Steel,8/31/2020,18800,18800,17910,18720,1.57E+13,836882421,114025,D,17910,18800
S*Mobarakeh.Steel,8/26/2020,17910,17910,17910,17910,5.40E+11,30151735,3110,D,17060,17910
S*Mobarakeh.Steel,8/25/2020,17060,17060,17060,17060,1.01E+12,59129576,7302,D,16250,17060
S*Mobarakeh.Steel,8/24/2020,17500,17670,15990,16250,1.06E+13,650651559,100132,D,16830,16700
S*Mobarakeh.Steel,8/23/2020,17940,18000,16700,16830,7.06E+12,419529484,56036,D,17570,16700
S*Mobarakeh.Steel,8/22/2020,17800,18030,16350,17570,6.50E+12,369911387,82507,D,17180,17580
S*Mobarakeh.Steel,8/19/2020,17180,17180,17180,17180,2.67E+12,155213627,26576,D,18080,17180
