Date,Open,High,Low,Close,Volume
6/28/2010,3.4,3.4,3.4,3.4,
6/29/2010,3.8,5,3.508,4.778,93916380
6/30/2010,5.158,6.084,4.66,4.766,85971970
7/1/2010,5,5.184,4.054,4.392,41149315
7/2/2010,4.6,4.62,3.742,3.84,25709035
7/6/2010,4,4,3.166,3.222,34396480
7/7/2010,3.28,3.326,2.996,3.16,34624570
7/8/2010,3.228,3.504,3.114,3.492,38597695
7/9/2010,3.516,3.58,3.31,3.48,20293030
7/12/2010,3.59,3.614,3.4,3.41,11017850
7/13/2010,3.478,3.728,3.38,3.628,13400300
7/14/2010,3.588,4.03,3.552,3.968,20980550
7/15/2010,3.988,4.3,3.8,3.978,18726485
7/16/2010,4.14,4.26,4.01,4.128,13106050
7/19/2010,4.274,4.45,4.184,4.382,12432445
7/20/2010,4.37,4.37,4.01,4.06,9126155
7/21/2010,4.132,4.18,3.9,4.044,6267210
7/22/2010,4.1,4.25,4.074,4.2,4811725
7/23/2010,4.238,4.312,4.212,4.258,3270245
7/26/2010,4.3,4.3,4.06,4.19,4612265
7/27/2010,4.182,4.236,4.052,4.11,3098375
7/28/2010,4.11,4.18,4.102,4.144,2335915
7/29/2010,4.154,4.176,4,4.07,3079550
7/30/2010,4.04,4.088,3.91,3.988,2134150
8/2/2010,4.1,4.194,4.066,4.184,3595725
8/3/2010,4.2,4.39,4.164,4.39,6155115
8/4/2010,4.39,4.436,4.17,4.252,4603780
8/5/2010,4.308,4.31,4.01,4.09,3981900
8/6/2010,4.02,4.032,3.904,3.918,3710690
8/9/2010,3.98,3.996,3.89,3.92,4063280
8/10/2010,3.93,3.93,3.764,3.806,6406430
8/11/2010,3.738,3.776,3.57,3.58,3988250
8/12/2010,3.56,3.58,3.478,3.52,3456405
8/13/2010,3.636,3.69,3.532,3.664,3172565
8/16/2010,3.69,3.76,3.652,3.756,2431055
8/17/2010,3.792,3.88,3.756,3.83,2239405
8/18/2010,3.918,3.918,3.72,3.754,3006660
8/19/2010,3.708,3.85,3.666,3.758,2895410
8/20/2010,3.73,3.822,3.702,3.82,1487495
8/23/2010,3.818,4.078,3.8,4.026,5440145
8/24/2010,3.85,3.942,3.79,3.84,3365370
8/25/2010,3.832,3.996,3.712,3.98,2516445
8/26/2010,3.978,4.054,3.92,3.95,2168680
8/27/2010,3.95,3.974,3.9,3.94,1890725
8/30/2010,3.94,4.038,3.922,3.974,3663655
8/31/2010,3.932,3.958,3.866,3.896,1005060
9/1/2010,3.924,4.138,3.92,4.09,2474425
9/2/2010,4.074,4.248,4.062,4.212,2435300
9/3/2010,4.174,4.26,4.132,4.21,2129780
9/7/2010,4.122,4.2,4.1,4.108,1216675
9/8/2010,4.132,4.19,4.12,4.18,1441910
9/9/2010,4.2,4.21,4.138,4.142,1880985
9/10/2010,4.15,4.186,3.952,4.034,1928445
9/13/2010,4.178,4.18,4.1,4.144,1803515
9/14/2010,4.108,4.32,4.106,4.224,3273145
9/15/2010,4.196,4.4,4.158,4.396,3422790
9/16/2010,4.43,4.632,4.168,4.188,13427400
9/17/2010,4.204,4.264,3.96,4.046,5874300
9/20/2010,4.134,4.27,4.032,4.21,4737375
9/21/2010,4.178,4.31,4.134,4.154,3980000
9/22/2010,4.174,4.19,3.96,3.974,4814080
9/23/2010,3.978,4.028,3.9,3.912,3340380
9/24/2010,3.99,4.038,3.93,4.02,2865935
9/27/2010,4.08,4.162,4.01,4.106,2092985
9/28/2010,4.208,4.298,4.152,4.28,6072325
9/29/2010,4.238,4.406,4.226,4.396,9847285
9/30/2010,4.4,4.43,4.038,4.082,10983125
10/1/2010,4.138,4.15,4.062,4.12,2612590
10/4/2010,4.086,4.234,4.06,4.198,3217995
10/5/2010,4.23,4.256,4.202,4.224,1659680
10/6/2010,4.212,4.252,4.064,4.092,1566785
10/7/2010,4.114,4.128,4.068,4.086,704600
10/8/2010,4.086,4.158,4.078,4.086,1331095
10/11/2010,4.088,4.14,4.014,4.048,855970
10/12/2010,4.04,4.056,4.006,4.048,1219560
10/13/2010,4.128,4.17,4.072,4.108,1596000
10/14/2010,4.2,4.206,4.08,4.15,1473100
10/15/2010,4.178,4.18,4.05,4.108,1415225
10/18/2010,4.104,4.128,4.044,4.046,813645
10/19/2010,4.04,4.082,4,4.01,1225635
10/20/2010,4.032,4.138,4.008,4.13,1562220
10/21/2010,4.122,4.19,4.09,4.15,2085495
10/22/2010,4.136,4.186,4.11,4.144,805105
10/25/2010,4.188,4.196,4.146,4.17,593070
10/26/2010,4.16,4.374,4.102,4.272,3304205
10/27/2010,4.25,4.276,4.13,4.2,1782500
10/28/2010,4.278,4.3,4.192,4.238,1120950
10/29/2010,4.228,4.37,4.21,4.368,1394775
11/1/2010,4.388,4.55,4.262,4.282,2278920
11/2/2010,4.336,4.376,4.21,4.25,1612325
11/3/2010,4.256,4.5,4.232,4.354,1870995
11/4/2010,4.52,5.066,4.43,4.98,9374005
11/5/2010,4.974,4.994,4.744,4.888,4936930
11/8/2010,4.9,5,4.806,4.996,2546875
11/9/2010,5,5.138,4.81,4.926,4783245
11/10/2010,4.896,5.994,4.81,5.872,15305190
11/11/2010,5.72,5.82,5.466,5.608,9723970
11/12/2010,5.65,6.1,5.614,5.968,13343065
11/15/2010,6.044,6.588,6.044,6.16,13121165
11/16/2010,6.2,6.28,5.684,5.934,6737655
11/17/2010,6.04,6.15,5.722,5.898,3749705
11/18/2010,6.134,6.148,5.784,5.978,4781240
11/19/2010,6.032,6.274,1.606,6.198,5727765
11/22/2010,6.314,6.69,6.3,6.68,7648110
11/23/2010,6.658,7.136,6.438,6.914,7889850
11/24/2010,7.054,7.194,6.866,7.094,7124795
11/26/2010,7.12,7.2,6.95,7.064,1713770
11/29/2010,7.082,7.19,6.666,6.866,5727715
11/30/2010,6.748,7.066,6.682,7.066,11112790
12/1/2010,7.174,7.284,6.69,6.87,6495875
12/2/2010,6.802,6.86,6.24,6.47,10034835
12/3/2010,6.402,6.45,6.174,6.298,5517450
12/6/2010,6.27,6.29,5.912,6.062,6371875
12/7/2010,6.098,6.48,6.01,6.312,6557740
12/8/2010,6.496,6.498,6.304,6.474,3299900
12/9/2010,6.502,6.544,6.33,6.41,2029915
12/10/2010,6.41,6.584,6.226,6.304,2137905
12/13/2010,6.328,6.354,6.08,6.11,2051655
12/14/2010,6.058,6.078,5.552,5.706,8828425
12/15/2010,5.734,5.994,5.706,5.92,3714500
12/16/2010,6,6.182,5.93,6.162,3950350
12/17/2010,6.268,6.308,6.142,6.272,3374775
12/20/2010,6.328,6.438,6.252,6.34,2616600
12/21/2010,6.36,6.538,6.342,6.452,3888390
12/22/2010,6.45,6.572,6.34,6.526,4166280
12/23/2010,6.252,6.496,5.984,6.018,7762625
12/27/2010,5.604,5.716,5.012,5.11,46509645
12/28/2010,5.17,5.35,5,5.282,20281350
12/29/2010,5.406,5.602,5.3,5.546,16597150
12/30/2010,5.54,5.58,5.276,5.3,10205335
12/31/2010,5.356,5.4,5.3,5.326,6059415
1/3/2011,5.368,5.4,5.18,5.324,6414520
1/4/2011,5.332,5.39,5.204,5.334,5945355
1/5/2011,5.296,5.38,5.238,5.366,7234345
1/6/2011,5.362,5.6,5.362,5.576,10305585
1/7/2011,5.6,5.716,5.58,5.648,7569415
1/10/2011,5.63,5.736,5.61,5.69,6713060
1/11/2011,5.718,5.742,5.384,5.392,8553505
1/12/2011,5.402,5.48,5.304,5.392,4823610
1/13/2011,5.392,5.394,5.232,5.244,3617610
1/14/2011,5.226,5.316,5.122,5.15,5690595
1/18/2011,5.096,5.128,4.95,5.128,8112695
1/19/2011,5.09,5.094,4.75,4.806,11857570
1/20/2011,4.806,4.89,4.474,4.524,11399290
1/21/2011,4.648,4.718,4.542,4.608,5744330
1/24/2011,4.706,4.962,4.646,4.898,8225945
1/25/2011,4.93,4.978,4.804,4.936,6357285
1/26/2011,4.942,4.976,4.82,4.95,5399335
1/27/2011,4.948,5.016,4.906,4.984,4478275
1/28/2011,4.962,4.97,4.75,4.802,5027225
1/31/2011,4.81,4.824,4.7,4.82,4155755
2/1/2011,4.862,4.946,4.708,4.782,3538955
2/2/2011,4.832,4.836,4.734,4.788,2847360
2/3/2011,4.764,4.78,4.63,4.726,2560335
2/4/2011,4.734,4.734,4.644,4.692,2679590
2/7/2011,4.652,4.652,4.576,4.614,4475055
2/8/2011,4.756,5.05,4.6,4.898,17525915
2/9/2011,4.826,4.836,4.558,4.642,13179310
2/10/2011,4.652,4.728,4.562,4.642,4180100
2/11/2011,4.65,4.75,4.588,4.65,3082955
2/14/2011,4.728,4.828,4.61,4.616,6415520
2/15/2011,4.602,4.634,4.512,4.568,4778030
2/16/2011,4.62,4.994,4.614,4.946,20576530
2/18/2011,4.666,4.698,4.592,4.636,11588135
2/22/2011,4.57,4.6,4.356,4.374,10322700
2/23/2011,4.436,4.5,4.222,4.366,8027540
2/24/2011,4.356,4.516,4.3,4.506,5277250
2/25/2011,4.548,4.77,4.538,4.722,6736285
2/28/2011,4.746,4.82,4.7,4.778,5255530
3/1/2011,4.81,4.864,4.74,4.788,5531750
3/2/2011,4.764,4.856,4.746,4.804,3316470
3/3/2011,4.896,4.958,4.812,4.872,3200700
3/4/2011,4.892,4.998,4.756,4.99,7900500
3/7/2011,4.978,5.08,4.94,4.988,10167655
3/8/2011,4.92,4.992,4.8,4.932,6999255
3/9/2011,4.932,4.998,4.854,4.944,4623605
3/10/2011,4.886,4.898,4.746,4.802,5084735
3/11/2011,4.77,4.85,4.706,4.814,4653970
3/14/2011,4.764,4.8,4.64,4.65,5829855
3/15/2011,4.432,4.592,4.36,4.59,6594345
3/16/2011,4.572,4.65,4.538,4.564,5848380
3/17/2011,4.648,4.686,4.528,4.562,4612520
3/18/2011,4.638,4.638,4.502,4.592,3439115
3/21/2011,4.602,4.61,4.508,4.546,2058250
3/22/2011,4.548,4.572,4.4,4.438,2914065
3/23/2011,4.422,4.454,4.354,4.442,2113965
3/24/2011,4.428,4.476,4.396,4.466,2310800
3/25/2011,4.49,4.6,4.48,4.55,2839610
3/28/2011,4.54,4.708,4.51,4.65,5290090
3/29/2011,4.662,4.8,4.642,4.784,3777955
3/30/2011,4.822,4.898,4.602,4.742,6116385
3/31/2011,5.3,5.742,5.3,5.55,57599905
4/1/2011,5.54,5.636,5.314,5.332,14323935
4/4/2011,5.356,5.4,5.046,5.166,13046135
4/5/2011,5.18,5.4,5.138,5.34,15908135
4/6/2011,5.4,5.402,5.16,5.298,6441485
4/7/2011,5.37,5.588,5.29,5.448,14053830
4/8/2011,5.516,5.52,5.272,5.298,9731760
4/11/2011,5.294,5.306,5.004,5.054,6849700
4/12/2011,5.016,5.042,4.86,4.93,6787005
4/13/2011,5.026,5.138,4.962,4.986,6057220
4/14/2011,4.968,5.056,4.84,5.028,4916910
4/15/2011,5.13,5.236,5.082,5.116,4717255
4/18/2011,5.026,5.124,4.872,5.006,5169355
4/19/2011,5.052,5.052,4.93,5.032,2743465
4/20/2011,5.14,5.218,5.06,5.15,4185845
4/21/2011,5.168,5.396,5.118,5.348,6930265
4/25/2011,5.34,5.346,5.194,5.278,4004195
4/26/2011,5.332,5.45,5.262,5.386,6861715
4/27/2011,5.386,5.472,5.326,5.416,4984505
4/28/2011,5.414,5.538,5.344,5.532,8224485
4/29/2011,5.538,5.574,5.484,5.52,3631200
5/2/2011,5.52,5.56,5.412,5.49,3922800
5/3/2011,5.476,5.478,5.3,5.374,4569825
5/4/2011,5.356,5.4,5.15,5.338,5223495
5/5/2011,5.45,5.488,5.234,5.288,6097245
5/6/2011,5.398,5.54,5.324,5.424,4908030
5/9/2011,5.4,5.6,5.37,5.582,4574015
5/10/2011,5.648,5.79,5.582,5.666,7677340
5/11/2011,5.64,5.66,5.384,5.414,4812825
5/12/2011,5.414,5.548,5.33,5.534,3138700
5/13/2011,5.6,5.638,5.46,5.51,3307885
5/16/2011,5.598,5.598,5.31,5.32,3778110
5/17/2011,5.4,5.4,5.144,5.192,6170780
5/18/2011,5.22,5.294,5.104,5.27,3647035
5/19/2011,5.4,5.688,5.32,5.64,13275335
5/20/2011,5.65,5.656,5.47,5.594,4212670
5/23/2011,5.508,5.524,5.324,5.364,4317740
5/24/2011,5.404,5.5,5.32,5.344,3068365
5/25/2011,5.38,5.802,5.234,5.796,23465745
5/26/2011,5.764,5.952,5.62,5.896,16684455
5/27/2011,5.908,5.934,5.764,5.91,8435345
5/31/2011,5.938,6.056,5.91,6.028,16450915
6/1/2011,6,6.02,5.676,5.704,7649480
6/2/2011,5.704,5.864,5.702,5.752,4931470
6/3/2011,5.99,6.3,5.9,6.026,31046670
6/6/2011,6.02,6.026,5.652,5.74,11655085
6/7/2011,5.788,5.878,5.652,5.674,6110495
6/8/2011,5.682,5.72,5.404,5.424,8479180
6/9/2011,5.486,5.62,5.42,5.524,8015600
6/10/2011,5.504,5.66,5.47,5.572,7832660
6/13/2011,5.614,5.776,5.576,5.686,8568205
6/14/2011,5.708,5.94,5.704,5.72,7866550
6/15/2011,5.688,5.69,5.414,5.464,6732895
6/16/2011,5.534,5.6,5.148,5.3,9210620
6/17/2011,5.374,5.54,5.228,5.3,8489680
6/20/2011,5.258,5.292,5.1,5.202,7688545
6/21/2011,5.248,5.546,5.2,5.506,7482815
6/22/2011,5.506,5.65,5.42,5.442,7377665
6/23/2011,5.44,5.544,5.242,5.542,5849950
6/24/2011,5.538,5.594,5.452,5.514,16631840
6/27/2011,5.546,5.656,5.462,5.492,9046835
6/28/2011,5.558,5.65,5.534,5.622,4445660
6/29/2011,5.7,5.818,5.614,5.658,7296040
6/30/2011,5.72,5.866,5.68,5.826,4733270
7/1/2011,5.814,5.92,5.76,5.804,4274195
7/5/2011,5.838,5.904,5.742,5.828,4979945
7/6/2011,5.828,5.828,5.71,5.792,4634445
7/7/2011,5.828,6,5.802,5.946,6447425
7/8/2011,5.978,5.978,5.718,5.762,6202900
7/11/2011,5.68,5.706,5.6,5.67,4878515
7/12/2011,5.674,5.818,5.6,5.634,5226530
7/13/2011,5.688,5.806,5.58,5.728,5329710
7/14/2011,5.792,5.792,5.45,5.522,5795655
7/15/2011,5.558,5.566,5.48,5.516,3544770
7/18/2011,5.468,5.49,5.326,5.446,4259385
7/19/2011,5.516,5.622,5.508,5.578,5130240
7/20/2011,5.6,6.088,5.56,5.738,15112395
7/21/2011,5.782,5.832,5.62,5.74,5060030
7/22/2011,5.74,5.908,5.71,5.858,2919340
7/25/2011,5.802,5.85,5.688,5.698,3366955
7/26/2011,5.662,5.754,5.594,5.6,3802660
7/27/2011,5.7,5.7,5.502,5.528,4792015
